Time (sec); Capacity;
1405;5,14605e-09;
1410;5,15508e-09;
1415;5,15902e-09;
1420;5,16353e-09;
1425;5,16813e-09;
1430;5,16742e-09;
1435;5,18229e-09;
1440;5,19055e-09;
1445;5,18664e-09;
1450;5,19935e-09;
1455;5,20907e-09;
1460;5,21236e-09;
1465;5,21784e-09;
1470;5,21589e-09;
1475;5,23035e-09;
1480;5,23324e-09;
1485;5,23907e-09;
1490;5,23026e-09;
1495;5,23455e-09;
1500;5,24069e-09;
1505;5,24941e-09;
1510;5,26509e-09;
1515;5,26614e-09;
1520;5,2771e-09;
1525;5,28153e-09;
1530;5,2783e-09;
1535;5,29236e-09;
1540;5,29494e-09;
1545;5,28895e-09;
1550;5,29637e-09;
1555;5,30604e-09;
1560;5,29883e-09;
1565;5,31291e-09;
1570;5,31087e-09;
1575;5,32088e-09;
1580;5,32309e-09;
1585;5,32249e-09;
1590;5,33073e-09;
1595;5,33795e-09;
1600;5,34805e-09;
1605;5,33775e-09;
1610;5,34868e-09;
1615;5,34103e-09;
1620;5,34791e-09;
1625;5,34923e-09;
1630;5,36461e-09;
1635;5,36253e-09;
1640;5,36753e-09;
1645;5,38208e-09;
1650;5,37826e-09;
1655;5,38342e-09;
1660;5,3887e-09;
1665;5,38736e-09;
1670;5,39587e-09;
1675;5,40097e-09;
1680;5,40719e-09;
1685;5,40621e-09;
1690;5,41251e-09;
1695;5,41765e-09;
1700;5,41249e-09;
1705;5,4141e-09;
1710;5,42122e-09;
1715;5,41982e-09;
1720;5,41605e-09;
1725;5,43281e-09;
1730;5,44165e-09;
1735;5,43828e-09;
1740;5,43511e-09;
1745;5,43605e-09;
1750;5,44808e-09;
1755;5,45307e-09;
1760;5,44919e-09;
1765;5,45054e-09;
1770;5,46241e-09;
1775;5,46053e-09;
1780;5,45933e-09;
1785;5,47594e-09;
1790;5,47387e-09;
1795;5,47884e-09;
1800;5,48027e-09;
1805;5,4816e-09;
1810;5,4808e-09;
1815;5,47385e-09;
1820;5,48341e-09;
1825;5,47396e-09;
1830;5,3673e-09;
1835;5,2041e-09;
1840;5,05151e-09;
1845;4,90683e-09;
1850;4,74688e-09;
1855;4,56929e-09;
1860;4,39162e-09;
1865;4,21775e-09;
1870;4,05017e-09;
1875;3,88019e-09;
1880;3,72539e-09;
1885;3,63952e-09;
1890;3,53158e-09;
1895;3,44036e-09;
1900;3,35822e-09;
1905;3,27373e-09;
1910;3,18529e-09;
1915;3,09238e-09;
1920;3,00487e-09;
1925;2,91377e-09;
1930;2,82201e-09;
1935;2,73522e-09;
1940;2,63498e-09;
1945;2,54547e-09;
1950;2,45244e-09;
1955;2,36183e-09;
1960;2,28169e-09;
1965;2,19979e-09;
1970;2,13311e-09;
1975;2,06559e-09;
1980;2,00608e-09;
1985;1,94891e-09;
1990;1,89609e-09;
1995;1,84875e-09;
2000;1,80022e-09;
2005;1,75791e-09;
2010;1,71484e-09;
2015;1,67614e-09;
2020;1,64057e-09;
2025;1,6055e-09;
2030;1,56959e-09;
2035;1,54114e-09;
2040;1,50924e-09;
2045;1,48296e-09;
2050;1,4545e-09;
2055;1,42871e-09;
2060;1,40411e-09;
2065;1,37722e-09;
2070;1,35662e-09;
2075;1,3323e-09;
2080;1,31087e-09;
2085;1,28941e-09;
2090;1,26966e-09;
2095;1,25069e-09;
2100;1,23386e-09;
2105;1,21288e-09;
2110;1,19327e-09;
2115;1,17695e-09;
2120;1,1631e-09;
2125;1,14614e-09;
2130;1,13198e-09;
2135;1,11562e-09;
2140;1,10054e-09;
2145;1,08509e-09;
2150;1,07588e-09;
2155;1,05882e-09;
2160;1,04861e-09;
2165;1,03345e-09;
2170;1,01959e-09;
2175;1,00918e-09;
2180;9,95336e-10;
2185;9,85671e-10;
2190;9,74052e-10;
2195;9,63416e-10;
2200;9,5156e-10;
2205;9,40502e-10;
2210;9,32057e-10;
2215;9,20036e-10;
2220;9,11899e-10;
2225;9,01042e-10;
2230;8,94761e-10;
2235;8,83393e-10;
2240;8,74867e-10;
2245;8,67429e-10;
2250;8,56356e-10;
2255;8,4992e-10;
2260;8,4144e-10;
2265;8,3266e-10;
2270;8,25453e-10;
2275;8,17373e-10;
2280;8,08206e-10;
2285;8,01727e-10;
2290;7,93976e-10;
2295;7,88701e-10;
2300;7,7915e-10;
2305;7,75474e-10;
2310;7,66304e-10;
2315;7,5955e-10;
2320;7,53187e-10;
2325;7,48274e-10;
2330;7,41887e-10;
2335;7,36795e-10;
2340;7,29677e-10;
2345;7,2357e-10;
2350;7,14945e-10;
2355;7,10775e-10;
2360;7,04968e-10;
2365;6,97468e-10;
2370;6,92212e-10;
2375;6,87426e-10;
2380;6,80973e-10;
2385;6,75611e-10;
2390;6,71272e-10;
2395;6,65557e-10;
2400;6,60015e-10;
2405;6,55137e-10;
2410;6,50648e-10;
2415;6,46117e-10;
2420;6,4182e-10;
2425;6,36889e-10;
2430;6,32244e-10;
2435;6,27894e-10;
2440;6,24138e-10;
2445;6,19363e-10;
2450;6,14397e-10;
2455;6,1048e-10;
2460;6,04487e-10;
2465;6,02361e-10;
2470;5,97263e-10;
2475;5,93163e-10;
2480;5,89397e-10;
2485;5,86967e-10;
2490;5,81752e-10;
2495;5,77721e-10;
2500;5,75231e-10;
2505;5,715e-10;
2510;5,66979e-10;
2515;5,63871e-10;
2520;5,59037e-10;
2525;5,54289e-10;
2530;5,522e-10;
2535;5,49452e-10;
2540;5,45303e-10;
2545;5,42231e-10;
2550;5,40395e-10;
2555;5,36056e-10;
2560;5,32733e-10;
2565;5,26488e-10;
2570;5,25882e-10;
2575;5,2229e-10;
2580;5,19089e-10;
2585;5,16039e-10;
2590;5,14123e-10;
2595;5,09458e-10;
2600;5,0896e-10;
2605;5,0507e-10;
2610;5,00833e-10;
2615;4,9773e-10;
2620;4,95047e-10;
2625;4,92998e-10;
2630;4,89069e-10;
2635;4,89598e-10;
2640;4,84435e-10;
2645;4,80995e-10;
2650;4,7784e-10;
2655;4,78355e-10;
2660;4,75095e-10;
2665;4,70806e-10;
2670;4,69219e-10;
2675;4,67156e-10;
2680;4,62981e-10;
2685;4,63344e-10;
2690;4,58308e-10;
2695;4,55418e-10;
2700;4,53254e-10;
2705;4,51876e-10;
2710;4,47145e-10;
2715;4,46446e-10;
2720;4,46114e-10;
2725;4,42853e-10;
2730;4,40766e-10;
2735;4,38378e-10;
2740;4,36565e-10;
2745;4,35196e-10;
2750;4,30632e-10;
2755;4,27637e-10;
2760;4,27818e-10;
2765;4,23744e-10;
2770;4,24632e-10;
2775;4,19563e-10;
2780;4,16758e-10;
2785;4,168e-10;
2790;4,14746e-10;
2795;4,12385e-10;
2800;4,09262e-10;
